gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
BTF3,3.62E-15,-0.74179713,0.407,0.668,1.38E-10,-0.261,2.288109953,4.498566967,ENSG00000145741,5,+,protein_coding,no,basic transcription factor 3
ATG101,3.89E-15,-0.195780865,0.051,0.27,1.49E-10,-0.219,0.10597678,0.266723776,ENSG00000123395,12,+,protein_coding,no,autophagy related 101
AC104581.4,4.23E-15,-0.271291719,0.023,0.217,1.61E-10,-0.194,0.037207837,0.251793623,ENSG00000280046,17,+,TEC,no,TEC
RPS27A,4.91E-15,-0.642012027,0.749,0.882,1.87E-10,-0.133,11.38924291,18.33346274,ENSG00000143947,2,+,protein_coding,yes,ribosomal protein S27a
TJP2,5.26E-15,-0.196101375,0.023,0.217,2.01E-10,-0.194,0.057375753,0.211327964,ENSG00000119139,9,+,protein_coding,yes,tight junction protein 2
RPL14,5.99E-15,-0.693708911,0.544,0.789,2.28E-10,-0.245,4.194163834,7.401229226,ENSG00000188846,3,+,protein_coding,no,ribosomal protein L14
IL6ST,6.13E-15,0.646068956,0.929,0.904,2.34E-10,0.025,21.52350245,13.39294912,ENSG00000134352,5,-,protein_coding,yes,interleukin 6 signal transducer
RAN,6.90E-15,-0.589713982,0.236,0.511,2.63E-10,-0.275,0.611404527,1.425080596,ENSG00000132341,12,+,protein_coding,no,"RAN, member RAS oncogene family"
EGLN2,7.07E-15,-0.194475787,0.017,0.203,2.70E-10,-0.186,0.058742601,0.211527938,ENSG00000269858,19,+,protein_coding,no,egl-9 family hypoxia inducible factor 2
N4BP2L2,7.61E-15,1.03060331,0.746,0.73,2.90E-10,0.016,6.497669909,2.670149933,ENSG00000244754,13,-,protein_coding,no,NEDD4 binding protein 2 like 2
PITHD1,7.74E-15,-0.289227785,0.12,0.388,2.95E-10,-0.268,0.245353582,0.521804672,ENSG00000057757,1,+,protein_coding,no,PITH domain containing 1
NUDT4,7.74E-15,-0.510541314,0.194,0.476,2.95E-10,-0.282,0.552264064,1.211331502,ENSG00000173598,12,+,protein_coding,no,nudix hydrolase 4
RPS16,7.87E-15,-0.67768386,0.584,0.832,3.00E-10,-0.248,5.222027746,8.952567069,ENSG00000105193,19,-,protein_coding,no,ribosomal protein S16
FBL,8.37E-15,-0.431014259,0.165,0.452,3.19E-10,-0.287,0.383573466,0.865307538,ENSG00000105202,19,-,protein_coding,no,fibrillarin
CDO1,9.31E-15,-0.453299572,0.077,0.313,3.55E-10,-0.236,0.167631332,0.598683558,ENSG00000129596,5,-,protein_coding,no,cysteine dioxygenase type 1
COQ10B,1.02E-14,-0.327071335,0.145,0.42,3.90E-10,-0.275,0.312550147,0.646547211,ENSG00000115520,2,+,protein_coding,no,coenzyme Q10B
GCH1,1.07E-14,-0.318631117,0.02,0.206,4.09E-10,-0.186,0.042725021,0.300431014,ENSG00000131979,14,-,protein_coding,no,GTP cyclohydrolase 1
SH3BGRL3,1.16E-14,-0.880414304,0.316,0.599,4.42E-10,-0.283,1.236999334,3.118100763,ENSG00000142669,1,+,protein_coding,no,SH3 domain binding glutamate rich protein like 3
MPDU1,1.18E-14,-0.26795258,0.06,0.286,4.49E-10,-0.226,0.118791304,0.347134152,ENSG00000129255,17,+,protein_coding,no,mannose-P-dolichol utilization defect 1
GNG5,1.25E-14,-0.617266749,0.259,0.54,4.76E-10,-0.281,0.777219442,1.726194657,ENSG00000174021,1,-,protein_coding,yes,G protein subunit gamma 5
NDUFS5,1.35E-14,-0.483646873,0.197,0.5,5.16E-10,-0.303,0.507658501,1.108119361,ENSG00000168653,1,+,protein_coding,no,NADH:ubiquinone oxidoreductase subunit S5
ULBP2,1.39E-14,-0.227793711,0.009,0.176,5.29E-10,-0.167,0.006088984,0.178173184,ENSG00000131015,6,+,protein_coding,yes,UL16 binding protein 2
ANXA2,1.40E-14,-1.119064519,0.501,0.717,5.35E-10,-0.216,2.270127146,6.102915143,ENSG00000182718,15,-,protein_coding,yes,annexin A2
GEM,1.44E-14,-0.292367197,0.026,0.217,5.48E-10,-0.191,0.042760205,0.277014255,ENSG00000164949,8,-,protein_coding,yes,GTP binding protein overexpressed in skeletal muscle
TSC22D2,1.54E-14,-0.380965114,0.157,0.444,5.88E-10,-0.287,0.432030454,0.864808244,ENSG00000196428,3,+,protein_coding,no,TSC22 domain family member 2
GRPEL1,1.60E-14,-0.25910692,0.091,0.334,6.10E-10,-0.243,0.168425278,0.398298524,ENSG00000109519,4,-,protein_coding,no,"GrpE like 1, mitochondrial"
AK6,1.74E-14,-0.258116973,0.06,0.281,6.63E-10,-0.221,0.123255256,0.343319783,ENSG00000085231,5,-,protein_coding,no,adenylate kinase 6
RBM8A,1.81E-14,-0.57209483,0.308,0.599,6.89E-10,-0.291,1.082872266,2.096566003,ENSG00000265241,1,-,protein_coding,no,RNA binding motif protein 8A
MT-TA,2.04E-14,-0.753082631,0.274,0.58,7.79E-10,-0.306,1.731197798,3.603133968,NA,NA,NA,NA,NA,NA
Z93241.1,2.14E-14,-0.376538537,0.028,0.217,8.18E-10,-0.189,0.034549566,0.343076336,ENSG00000270022,22,+,lncRNA,no,"RNA, U12 small nuclear"
GALNT15,2.34E-14,1.473983868,0.473,0.275,8.94E-10,0.198,3.622773978,0.664137865,ENSG00000131386,3,+,protein_coding,no,polypeptide N-acetylgalactosaminyltransferase 15
AKT3,2.56E-14,1.152249005,0.575,0.43,9.77E-10,0.145,3.109026786,0.848746902,ENSG00000117020,1,-,protein_coding,no,AKT serine/threonine kinase 3
HLA-DPB1,2.65E-14,-0.567489719,0.302,0.594,1.01E-09,-0.292,0.999698361,1.963438497,ENSG00000223865,6,+,protein_coding,yes,"major histocompatibility complex, class II, DP beta 1"
VIM,2.70E-14,-0.884825897,0.875,0.944,1.03E-09,-0.069,21.64420252,40.81346578,ENSG00000026025,10,+,protein_coding,yes,vimentin
RPL18A,3.28E-14,-0.820467603,0.624,0.799,1.25E-09,-0.175,5.804075309,11.01584924,ENSG00000105640,19,+,protein_coding,no,ribosomal protein L18a
TMEM70,3.75E-14,-0.299048914,0.071,0.294,1.43E-09,-0.223,0.179937875,0.451716574,ENSG00000175606,8,+,protein_coding,no,transmembrane protein 70
S100A16,4.05E-14,-0.561089988,0.191,0.484,1.54E-09,-0.293,0.464117125,1.160134222,ENSG00000188643,1,-,protein_coding,yes,S100 calcium binding protein A16
SLC39A14,4.19E-14,-0.290587888,0.043,0.243,1.60E-09,-0.2,0.073244026,0.312726191,ENSG00000104635,8,+,protein_coding,yes,solute carrier family 39 member 14
HSPB8,4.31E-14,-0.361322908,0.034,0.227,1.65E-09,-0.193,0.057699462,0.35872422,ENSG00000152137,12,+,protein_coding,no,heat shock protein family B (small) member 8
BIRC3,4.52E-14,-0.612864898,0.16,0.43,1.72E-09,-0.27,0.517292299,1.320384581,ENSG00000023445,11,+,protein_coding,no,baculoviral IAP repeat containing 3
GTF2B,4.87E-14,-0.346933598,0.068,0.291,1.86E-09,-0.223,0.121205074,0.426009682,ENSG00000137947,1,-,protein_coding,no,general transcription factor IIB
MINOS1,5.50E-14,-0.318507095,0.125,0.382,2.10E-09,-0.257,0.22027226,0.521727637,ENSG00000173436,1,+,protein_coding,no,mitochondrial contact site and cristae organizing system subunit 10
EIF3K,5.61E-14,-0.520897167,0.254,0.543,2.14E-09,-0.289,0.752384332,1.514403853,ENSG00000178982,19,+,protein_coding,no,eukaryotic translation initiation factor 3 subunit K
CREB5,5.72E-14,-0.270321601,0.048,0.254,2.18E-09,-0.206,0.106451327,0.334465113,ENSG00000146592,7,+,protein_coding,no,cAMP responsive element binding protein 5
SPHK1,5.76E-14,-0.256646283,0.04,0.235,2.20E-09,-0.195,0.078237156,0.288168049,ENSG00000176170,17,+,protein_coding,yes,sphingosine kinase 1
TXN,6.02E-14,-0.84135636,0.271,0.524,2.30E-09,-0.253,0.795578169,2.217198205,ENSG00000136810,9,-,protein_coding,no,thioredoxin
WDR74,6.09E-14,-0.158983577,0.074,0.305,2.32E-09,-0.231,0.283335654,0.432844581,ENSG00000133316,11,-,protein_coding,no,WD repeat domain 74
MYLIP,6.10E-14,-0.421232323,0.168,0.449,2.33E-09,-0.281,0.438137956,0.925768653,ENSG00000007944,6,+,protein_coding,yes,myosin regulatory light chain interacting protein
HIST1H2AC,6.63E-14,1.239070201,0.376,0.171,2.53E-09,0.205,1.922653399,0.23816926,ENSG00000180573,6,+,protein_coding,no,H2A clustered histone 6
EFNB1,7.47E-14,1.407552786,0.519,0.345,2.85E-09,0.174,3.687239163,0.76685742,ENSG00000090776,X,+,protein_coding,yes,ephrin B1
NXF1,7.60E-14,-0.272193348,0.114,0.366,2.90E-09,-0.252,0.289376247,0.557105461,ENSG00000162231,11,-,protein_coding,no,nuclear RNA export factor 1
UTRN,8.56E-14,0.95110314,0.741,0.676,3.26E-09,0.065,6.827514831,3.048678812,ENSG00000152818,6,+,protein_coding,yes,utrophin
MAFK,8.85E-14,-0.205451794,0.088,0.324,3.38E-09,-0.236,0.322672279,0.525103803,ENSG00000198517,7,+,protein_coding,no,MAF bZIP transcription factor K
RPL32,8.89E-14,-0.649737617,0.741,0.88,3.39E-09,-0.139,12.40918242,20.03743616,ENSG00000144713,3,-,protein_coding,no,ribosomal protein L32
RPS15A,9.31E-14,-0.729105673,0.627,0.802,3.55E-09,-0.175,7.684675704,13.39581589,ENSG00000134419,16,-,protein_coding,no,ribosomal protein S15a
TCEAL9,1.03E-13,-0.614496735,0.308,0.628,3.94E-09,-0.32,1.094112633,2.206136336,ENSG00000185222,X,+,protein_coding,no,transcription elongation factor A like 9
SERTAD3,1.08E-13,-0.31509867,0.048,0.246,4.13E-09,-0.198,0.062622023,0.322004593,ENSG00000167565,19,-,protein_coding,no,SERTA domain containing 3
PRDX1,1.11E-13,-0.696810395,0.373,0.626,4.22E-09,-0.253,1.386708326,2.868656572,ENSG00000117450,1,-,protein_coding,no,peroxiredoxin 1
EHD1,1.11E-13,-0.235512809,0.046,0.246,4.25E-09,-0.2,0.133950288,0.335028188,ENSG00000110047,11,-,protein_coding,yes,EH domain containing 1
HBB,1.16E-13,-2.574477324,0.003,0.152,4.41E-09,-0.149,0.001561868,4.965854798,ENSG00000244734,11,-,protein_coding,no,hemoglobin subunit beta
RASGEF1B,1.16E-13,-0.472962203,0.097,0.334,4.43E-09,-0.237,0.295216622,0.797704142,ENSG00000138670,4,-,protein_coding,no,RasGEF domain family member 1B
CHMP4A,1.23E-13,-0.019208013,0.023,0.201,4.67E-09,-0.178,0.16323579,0.178826646,ENSG00000254505,14,-,protein_coding,yes,charged multivesicular body protein 4A
RPL37,1.30E-13,-0.605641619,0.764,0.869,4.95E-09,-0.105,13.49581832,21.05763934,ENSG00000145592,5,-,protein_coding,no,ribosomal protein L37
PLA1A,1.39E-13,-0.228682949,0.077,0.305,5.29E-09,-0.228,0.248294557,0.462707552,ENSG00000144837,3,+,protein_coding,no,phospholipase A1 member A
CEBPB,1.42E-13,-0.703430623,0.208,0.471,5.43E-09,-0.263,0.54094705,1.509235558,ENSG00000172216,20,+,protein_coding,no,CCAAT enhancer binding protein beta
LIMS2,1.46E-13,1.056503273,0.641,0.532,5.58E-09,0.109,4.272470518,1.534982609,ENSG00000072163,2,-,protein_coding,yes,LIM zinc finger domain containing 2
CALR,1.49E-13,-0.754784303,0.567,0.738,5.68E-09,-0.171,2.894780151,5.571971382,ENSG00000179218,19,+,protein_coding,no,calreticulin
SLIRP,1.56E-13,-0.393544329,0.188,0.471,5.96E-09,-0.283,0.424844874,0.871699963,ENSG00000119705,14,+,protein_coding,no,SRA stem-loop interacting RNA binding protein
AAED1,1.59E-13,-0.275308085,0.097,0.337,6.07E-09,-0.24,0.212666541,0.467632723,ENSG00000158122,9,-,protein_coding,no,peroxiredoxin like 2C
TXNIP,1.76E-13,1.577558633,0.724,0.671,6.72E-09,0.053,28.91995621,9.02463307,ENSG00000265972,1,-,protein_coding,no,thioredoxin interacting protein
TOMM22,1.80E-13,-0.322523259,0.103,0.34,6.86E-09,-0.237,0.180998193,0.476856874,ENSG00000100216,22,+,protein_coding,no,translocase of outer mitochondrial membrane 22
ADAMTS9,1.83E-13,-0.562437926,0.12,0.372,6.99E-09,-0.252,0.620121077,1.392534223,ENSG00000163638,3,-,protein_coding,no,ADAM metallopeptidase with thrombospondin type 1 motif 9
TM4SF1,1.86E-13,-1.370429805,0.61,0.743,7.10E-09,-0.133,5.199751431,15.02930734,ENSG00000169908,3,-,protein_coding,no,transmembrane 4 L six family member 1
CHIC2,1.90E-13,-0.407792649,0.131,0.366,7.24E-09,-0.235,0.28262902,0.701605502,ENSG00000109220,4,-,protein_coding,yes,cysteine rich hydrophobic domain 2
FLNA,1.91E-13,-0.434281426,0.228,0.511,7.29E-09,-0.283,0.749046993,1.363378139,ENSG00000196924,X,-,protein_coding,yes,filamin A
DDT,1.96E-13,-0.32666359,0.125,0.374,7.47E-09,-0.249,0.206170111,0.512669679,ENSG00000099977,22,-,protein_coding,no,D-dopachrome tautomerase
SRSF7,2.01E-13,-0.771748267,0.328,0.578,7.68E-09,-0.25,0.976348156,2.374293305,ENSG00000115875,2,-,protein_coding,no,serine and arginine rich splicing factor 7
IER5L,2.13E-13,-0.499710497,0.123,0.377,8.12E-09,-0.254,0.276536474,0.804932965,ENSG00000188483,9,-,protein_coding,no,immediate early response 5 like
TRIB1,2.17E-13,-0.313159806,0.074,0.294,8.27E-09,-0.22,0.194821582,0.484477276,ENSG00000173334,8,+,protein_coding,no,tribbles pseudokinase 1
LUC7L3,2.19E-13,1.073648769,0.732,0.684,8.34E-09,0.048,5.700064849,2.183306983,ENSG00000108848,17,+,protein_coding,no,LUC7 like 3 pre-mRNA splicing factor
BTNL9,2.21E-13,1.643347536,0.453,0.246,8.42E-09,0.207,6.044052517,1.254891677,ENSG00000165810,5,+,protein_coding,yes,butyrophilin like 9
TMSB4X,2.38E-13,-0.939303675,0.724,0.845,9.08E-09,-0.121,9.707252153,19.53225321,ENSG00000205542,X,+,protein_coding,no,thymosin beta 4 X-linked
ZNF385D,2.42E-13,-0.467517206,0.191,0.471,9.21E-09,-0.28,0.69599038,1.345093091,ENSG00000151789,3,-,protein_coding,no,zinc finger protein 385D
KPNA2,2.56E-13,-0.197758976,0.046,0.241,9.75E-09,-0.195,0.099390827,0.260908268,ENSG00000182481,17,+,protein_coding,no,karyopherin subunit alpha 2
MPHOSPH8,2.58E-13,0.982217411,0.641,0.516,9.84E-09,0.125,3.585510969,1.321190763,ENSG00000196199,13,+,protein_coding,yes,M-phase phosphoprotein 8
CHCHD7,2.62E-13,-0.180675321,0.1,0.334,9.99E-09,-0.234,0.261831153,0.430177485,ENSG00000170791,8,+,protein_coding,no,coiled-coil-helix-coiled-coil-helix domain containing 7
C2CD4B,2.96E-13,-0.336081394,0.077,0.294,1.13E-08,-0.217,0.513648523,0.910713719,ENSG00000205502,15,-,protein_coding,no,C2 calcium dependent domain containing 4B
NME1,3.07E-13,-0.255126055,0.068,0.281,1.17E-08,-0.213,0.170055223,0.396390723,ENSG00000239672,17,+,protein_coding,no,NME/NM23 nucleoside diphosphate kinase 1
RSL1D1,3.54E-13,-0.292054504,0.188,0.468,1.35E-08,-0.28,0.483516594,0.816391976,ENSG00000171490,16,-,protein_coding,no,ribosomal L1 domain containing 1
MAFG,3.59E-13,-0.310374847,0.117,0.364,1.37E-08,-0.247,0.270816906,0.575850894,ENSG00000197063,17,-,protein_coding,no,MAF bZIP transcription factor G
TMEM256,3.65E-13,-0.263829858,0.091,0.318,1.39E-08,-0.227,0.117330069,0.341535555,ENSG00000205544,17,-,protein_coding,no,transmembrane protein 256
RPL36,3.67E-13,-0.502212968,0.724,0.898,1.40E-08,-0.174,10.6021175,15.43305947,ENSG00000130255,19,+,protein_coding,no,ribosomal protein L36
TENT5C,3.77E-13,-0.232380696,0.04,0.227,1.44E-08,-0.187,0.057998205,0.242906591,ENSG00000183508,1,+,protein_coding,no,terminal nucleotidyltransferase 5C
RPS18,3.81E-13,-0.587886498,0.741,0.906,1.45E-08,-0.165,14.32805888,22.03873503,ENSG00000231500,6,+,protein_coding,no,ribosomal protein S18
LAMTOR5,4.00E-13,-0.340107096,0.202,0.481,1.53E-08,-0.279,0.565447133,0.981622127,ENSG00000134248,1,-,protein_coding,no,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"
ATP1A1,4.27E-13,-0.55210252,0.459,0.719,1.63E-08,-0.26,2.063082129,3.491155176,ENSG00000163399,1,+,protein_coding,yes,ATPase Na+/K+ transporting subunit alpha 1
COX7B,4.39E-13,-0.483938509,0.202,0.473,1.67E-08,-0.271,0.450065423,1.027998382,ENSG00000131174,X,+,protein_coding,no,cytochrome c oxidase subunit 7B
BAG3,4.42E-13,-0.210711434,0.214,0.495,1.69E-08,-0.281,1.022046271,1.340030681,ENSG00000151929,10,+,protein_coding,yes,BAG cochaperone 3
SEC61B,4.90E-13,-0.438110449,0.197,0.46,1.87E-08,-0.263,0.500634071,1.033102101,ENSG00000106803,9,+,protein_coding,no,SEC61 translocon subunit beta
TFE3,5.35E-13,-0.269478177,0.083,0.305,2.04E-08,-0.222,0.185534104,0.429009336,ENSG00000068323,X,-,protein_coding,no,transcription factor binding to IGHM enhancer 3
SELENOK,5.46E-13,-0.618909603,0.285,0.58,2.08E-08,-0.295,0.857086132,1.851953248,ENSG00000113811,3,-,protein_coding,yes,selenoprotein K
ATP5MD,5.55E-13,-0.478145351,0.202,0.476,2.12E-08,-0.274,0.569892326,1.186784363,ENSG00000173915,10,-,protein_coding,no,ATP synthase membrane subunit DAPIT
Z83843.1,5.59E-13,0.98970601,0.336,0.126,2.13E-08,0.21,1.636984996,0.327933916,ENSG00000271533,X,-,lncRNA,no,"novel transcript, sense intronic FTX"
SLC2A1,5.86E-13,-0.896739672,0.142,0.39,2.24E-08,-0.248,0.898149188,2.534075986,ENSG00000117394,1,-,protein_coding,yes,solute carrier family 2 member 1
HMGA1,6.02E-13,-0.487223381,0.12,0.348,2.30E-08,-0.228,0.250488807,0.752865773,ENSG00000137309,6,+,protein_coding,no,high mobility group AT-hook 1
IRS2,6.24E-13,-0.347646887,0.063,0.265,2.38E-08,-0.202,0.094182935,0.39232967,ENSG00000185950,13,-,protein_coding,yes,insulin receptor substrate 2
ABL2,6.37E-13,-0.592378737,0.236,0.5,2.43E-08,-0.264,0.805013184,1.721473733,ENSG00000143322,1,-,protein_coding,no,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
SGMS2,6.80E-13,-0.226705075,0.06,0.265,2.59E-08,-0.205,0.140018941,0.334003887,ENSG00000164023,4,+,protein_coding,yes,sphingomyelin synthase 2
EMCN,6.89E-13,0.847560515,0.781,0.775,2.63E-08,0.006,8.765770278,4.427069283,ENSG00000164035,4,-,protein_coding,yes,endomucin
UBE2M,7.50E-13,-0.290077792,0.131,0.38,2.86E-08,-0.249,0.210803314,0.480456726,ENSG00000130725,19,-,protein_coding,no,ubiquitin conjugating enzyme E2 M
SAP30,7.73E-13,-0.365989464,0.077,0.286,2.95E-08,-0.209,0.125014119,0.449879067,ENSG00000164105,4,+,protein_coding,no,Sin3A associated protein 30
RPL36AL,7.89E-13,-0.642382838,0.328,0.583,3.01E-08,-0.255,1.269774574,2.542902736,ENSG00000165502,14,-,protein_coding,yes,ribosomal protein L36a like
EEF2,8.14E-13,-0.511422586,0.547,0.781,3.11E-08,-0.234,3.00262435,4.705561251,ENSG00000167658,19,-,protein_coding,yes,eukaryotic translation elongation factor 2
PLAC9,8.22E-13,-0.433375046,0.091,0.313,3.13E-08,-0.222,0.233811231,0.666125102,ENSG00000189129,10,+,protein_coding,no,placenta associated 9
CHMP1B,8.33E-13,-0.346734904,0.157,0.409,3.18E-08,-0.252,0.320035365,0.678661666,ENSG00000255112,18,+,protein_coding,no,charged multivesicular body protein 1B
TNFSF10,8.37E-13,1.120043728,0.681,0.623,3.19E-08,0.058,6.191203947,2.30852825,ENSG00000121858,3,-,protein_coding,no,TNF superfamily member 10
UBE2N,8.46E-13,-0.313534604,0.148,0.396,3.23E-08,-0.248,0.272766182,0.581728529,ENSG00000177889,12,-,protein_coding,no,ubiquitin conjugating enzyme E2 N
PKM,8.80E-13,-0.641945512,0.242,0.492,3.36E-08,-0.25,0.582087658,1.468740247,ENSG00000067225,15,-,protein_coding,no,pyruvate kinase M1/2
SNHG12,8.88E-13,-0.270974312,0.071,0.281,3.39E-08,-0.21,0.140201395,0.375792583,ENSG00000197989,1,-,lncRNA,no,small nucleolar RNA host gene 12
EGLN3,1.01E-12,-0.303030629,0.046,0.235,3.86E-08,-0.189,0.071534556,0.32198793,ENSG00000129521,14,-,protein_coding,no,egl-9 family hypoxia inducible factor 3
IGFBP5,1.02E-12,-2.968649036,0.108,0.316,3.90E-08,-0.208,0.719807094,12.4626992,ENSG00000115461,2,-,protein_coding,no,insulin like growth factor binding protein 5
ACKR3,1.08E-12,-0.65473081,0.179,0.433,4.10E-08,-0.254,0.671892998,1.632098221,ENSG00000144476,2,+,protein_coding,yes,atypical chemokine receptor 3
MAT2A,1.08E-12,-0.373720586,0.219,0.481,4.12E-08,-0.262,0.668630881,1.162028344,ENSG00000168906,2,+,protein_coding,no,methionine adenosyltransferase 2A
UQCRB,1.09E-12,-0.464724678,0.422,0.722,4.16E-08,-0.3,2.176623451,3.383911776,ENSG00000156467,8,-,protein_coding,no,ubiquinol-cytochrome c reductase binding protein
FAM129B,1.10E-12,-0.33776044,0.103,0.34,4.20E-08,-0.237,0.261389627,0.594135669,ENSG00000136830,9,-,protein_coding,yes,niban apoptosis regulator 2
VDAC2,1.21E-12,-0.459617141,0.177,0.444,4.62E-08,-0.267,0.387546092,0.908121234,ENSG00000165637,10,+,protein_coding,no,voltage dependent anion channel 2
WDR45,1.22E-12,-0.224355484,0.043,0.23,4.66E-08,-0.187,0.068841768,0.248679975,ENSG00000196998,X,-,protein_coding,no,WD repeat domain 45
IL1R1,1.28E-12,-0.379183489,0.097,0.326,4.87E-08,-0.229,0.448087502,0.883390647,ENSG00000115594,2,+,protein_coding,yes,interleukin 1 receptor type 1
NXT1,1.33E-12,-0.260463975,0.071,0.281,5.07E-08,-0.21,0.106089011,0.324944073,ENSG00000132661,20,+,protein_coding,no,nuclear transport factor 2 like export factor 1
RPS8,1.35E-12,-0.455357113,0.764,0.914,5.17E-08,-0.15,15.1543618,21.14960343,ENSG00000142937,1,+,protein_coding,no,ribosomal protein S8
TUBA1B,1.46E-12,-0.708540204,0.422,0.639,5.56E-08,-0.217,1.81614163,3.601997169,ENSG00000123416,12,-,protein_coding,no,tubulin alpha 1b
SEC61G,1.46E-12,-0.581935943,0.231,0.484,5.57E-08,-0.253,0.57142892,1.352203629,ENSG00000132432,7,-,protein_coding,no,SEC61 translocon subunit gamma
AC018445.4,1.50E-12,-0.190484164,0.023,0.19,5.72E-08,-0.167,0.06590693,0.216356086,ENSG00000279981,18,+,TEC,no,TEC
NARF,1.56E-12,-0.229321206,0.128,0.377,5.97E-08,-0.249,0.359327999,0.593517452,ENSG00000141562,17,+,protein_coding,no,nuclear prelamin A recognition factor
GPRC5A,1.69E-12,-0.299841108,0.034,0.211,6.45E-08,-0.177,0.064119817,0.309940889,ENSG00000013588,12,+,protein_coding,yes,G protein-coupled receptor class C group 5 member A
TGIF1,1.76E-12,-0.344342715,0.071,0.273,6.70E-08,-0.202,0.110892444,0.410358431,ENSG00000177426,18,+,protein_coding,no,TGFB induced factor homeobox 1
TIMM10,1.79E-12,-0.239246014,0.074,0.283,6.82E-08,-0.209,0.093592745,0.290850202,ENSG00000134809,11,-,protein_coding,no,translocase of inner mitochondrial membrane 10
TXNL1,1.83E-12,-0.318197552,0.151,0.409,7.00E-08,-0.258,0.346459305,0.678727634,ENSG00000091164,18,-,protein_coding,no,thioredoxin like 1
CHODL,1.88E-12,-0.309273767,0.003,0.139,7.18E-08,-0.136,0.001141565,0.240498299,ENSG00000154645,21,+,protein_coding,no,chondrolectin
IDI1,1.96E-12,-0.304609211,0.134,0.377,7.49E-08,-0.243,0.320867185,0.631381979,ENSG00000067064,10,-,protein_coding,no,isopentenyl-diphosphate delta isomerase 1
ELOVL5,2.01E-12,-0.283894216,0.137,0.382,7.68E-08,-0.245,0.311300709,0.59647812,ENSG00000012660,6,-,protein_coding,no,ELOVL fatty acid elongase 5
NUPR1,2.11E-12,-0.810830853,0.174,0.409,8.05E-08,-0.235,0.568411939,1.751341809,ENSG00000176046,16,-,protein_coding,no,"nuclear protein 1, transcriptional regulator"
HAPLN3,2.21E-12,-0.329085788,0.111,0.342,8.41E-08,-0.231,0.318304501,0.656076628,ENSG00000140511,15,-,protein_coding,no,hyaluronan and proteoglycan link protein 3
MACF1,2.31E-12,0.795225476,0.821,0.778,8.82E-08,0.043,9.59542393,5.105645939,ENSG00000127603,1,+,protein_coding,yes,microtubule actin crosslinking factor 1
UGDH,2.38E-12,-0.239227729,0.06,0.259,9.09E-08,-0.199,0.108655506,0.308613332,ENSG00000109814,4,-,protein_coding,no,UDP-glucose 6-dehydrogenase
TIMM13,2.45E-12,-0.230170686,0.12,0.361,9.35E-08,-0.241,0.222024999,0.433403204,ENSG00000099800,19,-,protein_coding,no,translocase of inner mitochondrial membrane 13
TSPYL2,2.46E-12,-0.371854071,0.179,0.457,9.38E-08,-0.278,0.57581192,1.039123881,ENSG00000184205,X,+,protein_coding,no,TSPY like 2
MTHFD2,2.48E-12,-0.2445536,0.037,0.211,9.45E-08,-0.174,0.141701719,0.352603864,ENSG00000065911,2,+,protein_coding,no,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
HIVEP2,2.75E-12,-0.15204182,0.094,0.318,1.05E-07,-0.224,0.349431615,0.49940871,ENSG00000010818,6,-,protein_coding,no,HIVEP zinc finger 2
NR4A3,2.77E-12,-0.210740192,0.011,0.158,1.05E-07,-0.147,0.018023297,0.178139823,ENSG00000119508,9,+,protein_coding,no,nuclear receptor subfamily 4 group A member 3
AL356273.3,2.78E-12,-0.245699277,0.017,0.171,1.06E-07,-0.154,0.02363006,0.213684717,ENSG00000279838,1,-,TEC,no,TEC
RPL8,2.78E-12,-0.582707657,0.687,0.864,1.06E-07,-0.177,7.319525741,11.45979949,ENSG00000161016,8,-,protein_coding,no,ribosomal protein L8
ADM5,2.92E-12,-0.41141332,0.06,0.251,1.11E-07,-0.191,0.171438859,0.557999723,ENSG00000224420,19,+,protein_coding,no,adrenomedullin 5 (putative)
DCAF13,2.92E-12,-0.204588324,0.071,0.278,1.12E-07,-0.207,0.145575112,0.320112041,ENSG00000164934,8,+,protein_coding,no,DDB1 and CUL4 associated factor 13
TES,2.95E-12,-0.34573373,0.131,0.369,1.13E-07,-0.238,0.319996666,0.677447967,ENSG00000135269,7,+,protein_coding,yes,testin LIM domain protein
RAB32,2.98E-12,-0.266028786,0.08,0.289,1.14E-07,-0.209,0.136710823,0.366887082,ENSG00000118508,6,+,protein_coding,no,"RAB32, member RAS oncogene family"
HSPD1,3.13E-12,-0.104295582,0.348,0.676,1.19E-07,-0.328,2.21756416,2.458782988,ENSG00000144381,2,-,protein_coding,yes,heat shock protein family D (Hsp60) member 1
PELO,3.14E-12,-0.439724683,0.105,0.318,1.20E-07,-0.213,0.173444287,0.591595837,ENSG00000152684,5,+,protein_coding,no,pelota mRNA surveillance and ribosome rescue factor
UAP1,3.19E-12,-0.20219006,0.094,0.307,1.22E-07,-0.213,0.192727375,0.372165387,ENSG00000117143,1,+,protein_coding,yes,UDP-N-acetylglucosamine pyrophosphorylase 1
