gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
WDR54,1.13E-18,-0.441990285,0.36,0.661,4.33E-14,-0.301,0.854621634,1.519461087,ENSG00000005448,2,+,protein_coding,no,WD repeat domain 54
RPL11,1.19E-18,-0.572159556,0.939,0.951,4.54E-14,-0.012,10.74592955,16.46323025,ENSG00000142676,1,+,protein_coding,no,ribosomal protein L11
RCVRN,1.33E-18,-0.594777138,0.998,0.984,5.07E-14,0.014,37.71346061,57.46658856,ENSG00000109047,17,-,protein_coding,no,recoverin
LSM3,1.45E-18,-0.462730249,0.301,0.612,5.53E-14,-0.311,0.693154019,1.333415887,ENSG00000170860,3,+,protein_coding,no,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
VAMP2,1.60E-18,-0.421082631,0.907,0.951,6.11E-14,-0.044,8.827624348,12.15852016,ENSG00000220205,17,-,protein_coding,yes,vesicle associated membrane protein 2
NDRG4,1.78E-18,-0.565260886,0.038,0.26,6.79E-14,-0.222,0.123483207,0.662367606,ENSG00000103034,16,+,protein_coding,no,NDRG family member 4
SMDT1,1.90E-18,-0.557198315,0.545,0.786,7.25E-14,-0.241,2.138038375,3.617337889,ENSG00000183172,22,+,protein_coding,no,single-pass membrane protein with aspartate rich tail 1
COX6A1,2.52E-18,-0.54127084,0.778,0.888,9.60E-14,-0.11,5.964603505,9.135266102,ENSG00000111775,12,+,protein_coding,no,cytochrome c oxidase subunit 6A1
HLA-DQB1,2.72E-18,0.575478571,0.219,0,1.04E-13,0.219,0.490171701,0,ENSG00000179344,6,-,protein_coding,yes,"major histocompatibility complex, class II, DQ beta 1"
STK32C,2.80E-18,-0.565535931,0.088,0.336,1.07E-13,-0.248,0.133360062,0.677301686,ENSG00000165752,10,-,protein_coding,no,serine/threonine kinase 32C
UQCR11,2.94E-18,-0.592402697,0.57,0.806,1.12E-13,-0.236,2.549050341,4.351100911,ENSG00000127540,19,-,protein_coding,no,"ubiquinol-cytochrome c reductase, complex III subunit XI"
OST4,2.96E-18,-0.379185259,0.523,0.796,1.13E-13,-0.273,2.039858636,2.953661873,ENSG00000228474,2,-,protein_coding,no,"oligosaccharyltransferase complex subunit 4, non-catalytic"
SSR4,3.43E-18,-0.4749028,0.373,0.651,1.31E-13,-0.278,0.979979132,1.751823664,ENSG00000180879,X,+,protein_coding,no,signal sequence receptor subunit 4
FOXO3,3.80E-18,-0.728323662,0.303,0.589,1.45E-13,-0.286,0.547477911,1.563726706,ENSG00000118689,6,+,protein_coding,no,forkhead box O3
IFI27L2,4.95E-18,-0.437962554,0.593,0.819,1.89E-13,-0.226,2.266847618,3.425565195,ENSG00000119632,14,-,protein_coding,no,interferon alpha inducible protein 27 like 2
RPS7,5.90E-18,-0.696901428,0.934,0.908,2.25E-13,0.026,9.888033752,16.64971481,ENSG00000171863,2,+,protein_coding,no,ribosomal protein S7
BICD1,6.23E-18,-0.942004715,0.285,0.562,2.38E-13,-0.277,0.634029332,2.139290628,ENSG00000151746,12,+,protein_coding,no,BICD cargo adaptor 1
P3H3,6.76E-18,-0.587574829,0.421,0.684,2.58E-13,-0.263,1.026199525,2.044807616,ENSG00000110811,12,+,protein_coding,no,prolyl 3-hydroxylase 3
RPS24,6.80E-18,-0.501643863,0.876,0.934,2.59E-13,-0.058,8.279560536,12.13824206,ENSG00000138326,10,+,protein_coding,no,ribosomal protein S24
GNAT1,7.23E-18,0.740338048,0.516,0.204,2.76E-13,0.312,4.087294509,2.045249783,ENSG00000114349,3,+,protein_coding,yes,G protein subunit alpha transducin 1
FAM138C,8.22E-18,-0.345082193,0.057,0.286,3.13E-13,-0.229,0.078751133,0.370254875,ENSG00000218839,9,-,lncRNA,no,family with sequence similarity 138 member C
GNAT2,1.05E-17,-0.607121365,0.717,0.832,4.01E-13,-0.115,3.198456421,5.395159663,ENSG00000134183,1,-,protein_coding,yes,G protein subunit alpha transducin 2
CALR,1.06E-17,-0.727350196,0.473,0.697,4.06E-13,-0.224,1.078326802,2.440868413,ENSG00000179218,19,+,protein_coding,no,calreticulin
PLK2,1.45E-17,-0.269039984,0.014,0.194,5.52E-13,-0.18,0.040524726,0.253838237,ENSG00000145632,5,-,protein_coding,no,polo like kinase 2
RPL24,1.51E-17,-0.461397809,0.907,0.918,5.76E-13,-0.011,9.023918075,12.80168429,ENSG00000114391,3,-,protein_coding,no,ribosomal protein L24
SERPINH1,1.53E-17,-0.366956503,0.002,0.161,5.84E-13,-0.159,0.001882389,0.292056952,ENSG00000149257,11,+,protein_coding,no,serpin family H member 1
ENO2,1.53E-17,-0.392643705,0.971,0.977,5.85E-13,-0.006,16.91846703,22.52330745,ENSG00000111674,12,+,protein_coding,yes,enolase 2
HRASLS,2.14E-17,-0.5876181,0.464,0.707,8.16E-13,-0.243,1.424959387,2.644140758,ENSG00000127252,3,+,protein_coding,no,phospholipase A and acyltransferase 1
MT-CYB,2.24E-17,0.760476144,0.993,0.987,8.54E-13,0.006,154.872129,91.01154791,ENSG00000198727,MT,+,protein_coding,no,mitochondrially encoded cytochrome b
HSD17B7,3.73E-17,-0.527308672,0.115,0.365,1.42E-12,-0.25,0.157289428,0.667929589,ENSG00000132196,1,+,protein_coding,yes,hydroxysteroid 17-beta dehydrogenase 7
NDUFC2,4.14E-17,-0.403587681,0.561,0.803,1.58E-12,-0.242,2.516935298,3.652178571,ENSG00000151366,11,-,protein_coding,yes,NADH:ubiquinone oxidoreductase subunit C2
LINC02081,4.19E-17,-0.714642486,0.233,0.493,1.60E-12,-0.26,0.39798446,1.294199434,ENSG00000267123,17,-,lncRNA,no,S-phase cancer associated transcript 1
COX14,4.54E-17,-0.480803401,0.557,0.793,1.73E-12,-0.236,2.335606128,3.654907001,ENSG00000178449,12,+,protein_coding,no,cytochrome c oxidase assembly factor COX14
CSKMT,5.35E-17,-0.47798085,0.079,0.312,2.04E-12,-0.233,0.110833943,0.547161733,ENSG00000214756,11,+,protein_coding,no,citrate synthase lysine methyltransferase
PIN4,6.03E-17,-0.333469092,0.215,0.507,2.30E-12,-0.292,0.524239224,0.920601805,ENSG00000102309,X,+,protein_coding,no,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
CUTA,6.80E-17,-0.471328608,0.308,0.595,2.60E-12,-0.287,0.657423203,1.297827714,ENSG00000112514,6,-,protein_coding,no,cutA divalent cation tolerance homolog
VANGL1,9.71E-17,-0.601000123,0.244,0.53,3.70E-12,-0.286,0.502776189,1.279362345,ENSG00000173218,1,+,protein_coding,yes,VANGL planar cell polarity protein 1
RPL27,9.80E-17,-0.542095301,0.67,0.809,3.74E-12,-0.139,3.089932849,4.955292863,ENSG00000131469,17,+,protein_coding,no,ribosomal protein L27
CD63,1.02E-16,-0.516650056,0.733,0.859,3.90E-12,-0.126,3.78482449,5.845310878,ENSG00000135404,12,-,protein_coding,yes,CD63 molecule
ETNK2,1.16E-16,0.447689302,0.229,0.013,4.44E-12,0.216,0.41332605,0.03627365,ENSG00000143845,1,-,protein_coding,no,ethanolamine kinase 2
ZFAS1,1.44E-16,-0.496629823,0.421,0.694,5.51E-12,-0.273,1.118860337,1.989529236,ENSG00000177410,20,+,lncRNA,no,ZNFX1 antisense RNA 1
POLR2I,1.56E-16,-0.365381397,0.391,0.684,5.96E-12,-0.293,1.214499651,1.852767491,ENSG00000105258,19,-,protein_coding,no,RNA polymerase II subunit I
UBE2S,1.60E-16,-0.54037915,0.299,0.572,6.10E-12,-0.273,0.711702818,1.489423006,ENSG00000108106,19,-,protein_coding,no,ubiquitin conjugating enzyme E2 S
MT-ATP8,1.61E-16,0.936627134,0.731,0.688,6.14E-12,0.043,5.366123277,2.325999521,ENSG00000228253,MT,+,protein_coding,no,mitochondrially encoded ATP synthase membrane subunit 8
EDF1,1.82E-16,-0.332470056,0.502,0.757,6.96E-12,-0.255,1.893016387,2.642791824,ENSG00000107223,9,-,protein_coding,no,endothelial differentiation related factor 1
DUSP5,2.07E-16,-0.43479747,0.066,0.289,7.90E-12,-0.223,0.081255031,0.461555197,ENSG00000138166,10,+,protein_coding,no,dual specificity phosphatase 5
MRPL17,2.12E-16,-0.379312865,0.147,0.414,8.08E-12,-0.267,0.254102345,0.631238751,ENSG00000158042,11,-,protein_coding,no,mitochondrial ribosomal protein L17
DNAJB4,2.31E-16,-0.691514892,0.437,0.668,8.80E-12,-0.231,0.911280337,2.08667651,ENSG00000162616,1,+,protein_coding,yes,DnaJ heat shock protein family (Hsp40) member B4
FKBP2,2.52E-16,-0.463838664,0.382,0.638,9.60E-12,-0.256,0.936873162,1.671348398,ENSG00000173486,11,+,protein_coding,no,FKBP prolyl isomerase 2
TLE4,2.64E-16,-0.732665617,0.344,0.605,1.01E-11,-0.261,0.700152535,1.825154575,ENSG00000106829,9,+,protein_coding,no,"TLE family member 4, transcriptional corepressor"
HSPA8,2.87E-16,-0.545090996,0.733,0.901,1.10E-11,-0.168,4.310329153,6.748366972,ENSG00000109971,11,-,protein_coding,yes,heat shock protein family A (Hsp70) member 8
RPS15A,3.01E-16,-0.608813488,0.81,0.878,1.15E-11,-0.068,6.161625533,9.921511078,ENSG00000134419,16,-,protein_coding,no,ribosomal protein S15a
CRX,3.31E-16,0.617174107,0.907,0.928,1.26E-11,-0.021,9.579055725,5.89698031,ENSG00000105392,19,+,protein_coding,no,cone-rod homeobox
STMN2,3.49E-16,-0.878268392,0.09,0.322,1.33E-11,-0.232,0.283959089,1.360132125,ENSG00000104435,8,+,protein_coding,no,stathmin 2
PGAM1,4.09E-16,-0.430238946,0.857,0.924,1.56E-11,-0.067,6.120351655,8.594365763,ENSG00000171314,10,+,protein_coding,no,phosphoglycerate mutase 1
RNF181,4.30E-16,-0.355394859,0.183,0.454,1.64E-11,-0.271,0.347473511,0.723870943,ENSG00000168894,2,+,protein_coding,no,ring finger protein 181
VPS29,4.51E-16,-0.357100542,0.416,0.681,1.72E-11,-0.265,1.056451343,1.634003895,ENSG00000111237,12,-,protein_coding,no,VPS29 retromer complex component
MT-ND2,4.90E-16,0.726779577,0.939,0.957,1.87E-11,-0.018,40.6447325,24.16388107,ENSG00000198763,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
H2AFZ,5.09E-16,-0.563977048,0.652,0.829,1.94E-11,-0.177,2.693171924,4.459759764,ENSG00000164032,4,-,protein_coding,no,H2A.Z variant histone 1
GEM,5.64E-16,-0.551318453,0.14,0.388,2.15E-11,-0.248,0.203816549,0.764102035,ENSG00000164949,8,-,protein_coding,yes,GTP binding protein overexpressed in skeletal muscle
EEF1B2,6.34E-16,-0.47543054,0.396,0.688,2.42E-11,-0.292,1.248235578,2.125796278,ENSG00000114942,2,+,protein_coding,no,eukaryotic translation elongation factor 1 beta 2
RPL22,6.76E-16,-0.475238024,0.851,0.905,2.58E-11,-0.054,6.37824587,9.256850456,ENSG00000116251,1,-,protein_coding,no,ribosomal protein L22
RPL41,8.77E-16,-0.546146638,0.955,0.944,3.34E-11,0.011,15.46162937,23.03694886,ENSG00000229117,12,+,protein_coding,no,ribosomal protein L41
AL451062.1,9.06E-16,-0.529144761,0.554,0.75,3.45E-11,-0.196,1.859296866,3.126175475,ENSG00000229444,1,-,lncRNA,no,novel transcript
UQCRH,9.10E-16,-0.482856309,0.921,0.928,3.47E-11,-0.007,12.19312933,17.43750081,ENSG00000173660,1,+,protein_coding,no,ubiquinol-cytochrome c reductase hinge protein
TMEM256,1.18E-15,-0.244312452,0.206,0.497,4.51E-11,-0.291,0.533865644,0.816906993,ENSG00000205544,17,-,protein_coding,no,transmembrane protein 256
TUBB2A,1.21E-15,-0.589592239,0.136,0.385,4.62E-11,-0.249,0.31568383,0.979869139,ENSG00000137267,6,-,protein_coding,no,tubulin beta 2A class IIa
ALDOC,1.24E-15,-0.425715952,0.853,0.941,4.73E-11,-0.088,6.476002738,9.042057943,ENSG00000109107,17,-,protein_coding,no,"aldolase, fructose-bisphosphate C"
COX7A2,1.24E-15,-0.35829654,0.835,0.911,4.75E-11,-0.076,6.566836098,8.700013374,ENSG00000112695,6,-,protein_coding,no,cytochrome c oxidase subunit 7A2
RPL36A,1.67E-15,-0.288701563,0.238,0.516,6.37E-11,-0.278,0.587678184,0.939413023,ENSG00000241343,X,+,protein_coding,yes,ribosomal protein L36a
RPL36AL,1.82E-15,-0.475887739,0.543,0.763,6.93E-11,-0.22,2.01786271,3.197164228,ENSG00000165502,14,-,protein_coding,yes,ribosomal protein L36a like
RPS27,1.88E-15,-0.484054721,0.925,0.934,7.18E-11,-0.009,10.28814716,14.788383,ENSG00000177954,1,+,protein_coding,no,ribosomal protein S27
RPS4X,1.89E-15,-0.478183527,0.778,0.859,7.21E-11,-0.081,5.632147764,8.238506713,ENSG00000198034,X,-,protein_coding,no,ribosomal protein S4 X-linked
POU3F1,2.11E-15,-0.367862067,0.027,0.204,8.03E-11,-0.177,0.040646227,0.342890589,ENSG00000185668,1,-,protein_coding,no,POU class 3 homeobox 1
AC026356.2,2.17E-15,-0.492284749,0.041,0.23,8.26E-11,-0.189,0.073068485,0.509454117,ENSG00000276115,12,+,lncRNA,no,"novel transcript, sense intronic to BICD1"
PFDN5,2.23E-15,-0.547041959,0.785,0.878,8.52E-11,-0.093,5.446171298,8.418416259,ENSG00000123349,12,+,protein_coding,no,prefoldin subunit 5
DUSP6,2.27E-15,-0.371925811,0.05,0.25,8.67E-11,-0.2,0.081517052,0.399568619,ENSG00000139318,12,-,protein_coding,no,dual specificity phosphatase 6
PET100,2.30E-15,-0.332024346,0.489,0.763,8.78E-11,-0.274,1.723486272,2.428265733,ENSG00000229833,19,+,protein_coding,no,PET100 cytochrome c oxidase chaperone
TM2D2,2.90E-15,-0.551577917,0.129,0.362,1.11E-10,-0.233,0.155509604,0.693616427,ENSG00000169490,8,-,protein_coding,no,TM2 domain containing 2
RPS19BP1,3.02E-15,-0.249733464,0.391,0.681,1.15E-10,-0.29,1.145713945,1.55122691,ENSG00000187051,22,-,protein_coding,no,ribosomal protein S19 binding protein 1
CHORDC1,3.10E-15,-0.63853791,0.378,0.628,1.18E-10,-0.25,0.666556549,1.594413042,ENSG00000110172,11,-,protein_coding,no,cysteine and histidine rich domain containing 1
MINOS1,3.38E-15,-0.265474178,0.414,0.681,1.29E-10,-0.267,1.316063239,1.783979955,ENSG00000173436,1,+,protein_coding,no,mitochondrial contact site and cristae organizing system subunit 10
RIIAD1,4.29E-15,-0.361203348,0.172,0.428,1.64E-10,-0.256,0.364637054,0.752871992,ENSG00000178796,1,+,protein_coding,no,regulatory subunit of type II PKA R-subunit domain containing 1
COX7B,4.50E-15,-0.412904607,0.706,0.855,1.72E-10,-0.149,4.137501139,5.8398819,ENSG00000131174,X,+,protein_coding,no,cytochrome c oxidase subunit 7B
UXT,5.43E-15,-0.450437554,0.235,0.513,2.07E-10,-0.278,0.483340315,1.026917235,ENSG00000126756,X,-,protein_coding,no,ubiquitously expressed prefoldin like chaperone
SNHG7,5.75E-15,-0.464558802,0.231,0.487,2.19E-10,-0.256,0.450821749,1.001982106,ENSG00000233016,9,-,lncRNA,no,small nucleolar RNA host gene 7
IDH1,6.42E-15,-0.428315285,0.097,0.322,2.45E-10,-0.225,0.124999699,0.513868508,ENSG00000138413,2,-,protein_coding,no,isocitrate dehydrogenase (NADP(+)) 1
KDM4B,6.68E-15,-0.598943451,0.301,0.579,2.55E-10,-0.278,0.596735635,1.418426885,ENSG00000127663,19,+,protein_coding,no,lysine demethylase 4B
REX1BD,6.94E-15,-0.521073199,0.303,0.562,2.65E-10,-0.259,0.633629306,1.344294554,ENSG00000006015,19,+,protein_coding,no,required for excision 1-B domain containing
RPL35A,7.42E-15,-0.537699469,0.882,0.911,2.83E-10,-0.029,7.844723525,11.83949465,ENSG00000182899,3,+,protein_coding,no,ribosomal protein L35a
RPS6,7.78E-15,-0.469687362,0.869,0.888,2.97E-10,-0.019,7.703544147,11.05274924,ENSG00000137154,9,-,protein_coding,no,ribosomal protein S6
SAP18,8.42E-15,-0.407468028,0.52,0.753,3.21E-10,-0.233,1.474329954,2.281842323,ENSG00000150459,13,+,protein_coding,no,Sin3A associated protein 18
ZNF503,8.97E-15,-0.395468581,0.066,0.27,3.42E-10,-0.204,0.080069293,0.420690655,ENSG00000165655,10,-,protein_coding,no,zinc finger protein 503
PSENEN,9.54E-15,-0.447095529,0.195,0.441,3.64E-10,-0.246,0.296676955,0.767750455,ENSG00000205155,19,+,protein_coding,yes,"presenilin enhancer, gamma-secretase subunit"
BOLA3,9.68E-15,-0.391353233,0.276,0.546,3.69E-10,-0.27,0.658458586,1.175272618,ENSG00000163170,2,-,protein_coding,no,bolA family member 3
HTRA1,1.04E-14,-0.488915456,0.38,0.609,3.96E-10,-0.229,0.698622566,1.383829045,ENSG00000166033,10,+,protein_coding,yes,HtrA serine peptidase 1
MYL12A,1.05E-14,-0.375617582,0.165,0.418,4.02E-10,-0.253,0.308060334,0.6970707,ENSG00000101608,18,+,protein_coding,no,myosin light chain 12A
RAB5IF,1.12E-14,-0.328970852,0.122,0.359,4.27E-10,-0.237,0.237645738,0.554627854,ENSG00000101084,20,+,protein_coding,no,RAB5 interacting factor
SRSF2,1.12E-14,-0.579159969,0.308,0.562,4.28E-10,-0.254,0.574506947,1.352280476,ENSG00000161547,17,-,protein_coding,no,serine and arginine rich splicing factor 2
SPINK4,1.17E-14,-0.348293779,0.235,0.52,4.46E-10,-0.285,0.692855352,1.15509652,ENSG00000122711,9,+,protein_coding,no,serine peptidase inhibitor Kazal type 4
DYNLL1,1.25E-14,-0.429379476,0.756,0.878,4.78E-10,-0.122,4.063763012,5.819137912,ENSG00000088986,12,+,protein_coding,yes,dynein light chain LC8-type 1
SUMO1,1.30E-14,-0.409545677,0.434,0.688,4.96E-10,-0.254,1.239537435,1.974704701,ENSG00000116030,2,-,protein_coding,yes,small ubiquitin like modifier 1
AC009690.2,1.30E-14,-0.448017962,0.249,0.523,4.97E-10,-0.274,0.593123197,1.173282617,ENSG00000261460,15,+,lncRNA,no,"novel transcript, antisense to HEXA and CELF6"
PCAT4,1.33E-14,-0.303600757,0.423,0.74,5.07E-10,-0.317,3.890492204,5.03594822,ENSG00000251321,4,+,lncRNA,no,prostate cancer associated transcript 4
LRIF1,1.35E-14,-0.566742642,0.131,0.359,5.14E-10,-0.228,0.174310881,0.739360567,ENSG00000121931,1,-,protein_coding,no,ligand dependent nuclear receptor interacting factor 1
DPCD,1.35E-14,-0.364299893,0.416,0.668,5.15E-10,-0.252,1.177205003,1.802621948,ENSG00000166171,10,+,protein_coding,no,deleted in primary ciliary dyskinesia homolog (mouse)
ELOB,1.36E-14,-0.457249164,0.64,0.842,5.17E-10,-0.202,3.190848432,4.753706019,ENSG00000103363,16,-,protein_coding,no,elongin B
C19orf53,1.42E-14,-0.295930018,0.428,0.701,5.41E-10,-0.273,1.330930741,1.861628032,ENSG00000104979,19,+,protein_coding,no,chromosome 19 open reading frame 53
RPL9,1.72E-14,-0.488409822,0.905,0.898,6.55E-10,0.007,8.705139214,12.61531759,ENSG00000163682,4,-,protein_coding,no,ribosomal protein L9
ING2,1.74E-14,-0.385715703,0.183,0.438,6.63E-10,-0.255,0.335801479,0.745235009,ENSG00000168556,4,+,protein_coding,yes,inhibitor of growth family member 2
NDUFS6,1.75E-14,-0.23599978,0.561,0.773,6.67E-10,-0.212,2.139104166,2.69699395,ENSG00000145494,5,+,protein_coding,no,NADH:ubiquinone oxidoreductase subunit S6
SAP30,1.78E-14,-0.465647731,0.156,0.395,6.79E-10,-0.239,0.216619011,0.680074472,ENSG00000164105,4,+,protein_coding,no,Sin3A associated protein 30
BTBD3,1.80E-14,-0.648621885,0.448,0.684,6.87E-10,-0.236,0.905816708,1.987691649,ENSG00000132640,20,+,protein_coding,no,BTB domain containing 3
COX6B1,2.00E-14,-0.378757678,0.713,0.875,7.63E-10,-0.162,4.185191295,5.741898428,ENSG00000126267,19,+,protein_coding,no,cytochrome c oxidase subunit 6B1
RPL14,2.01E-14,-0.431555533,0.876,0.901,7.67E-10,-0.025,7.559904922,10.54463219,ENSG00000188846,3,+,protein_coding,no,ribosomal protein L14
RPS13,2.11E-14,-0.549488961,0.878,0.891,8.05E-10,-0.013,9.00892588,13.64873534,ENSG00000110700,11,-,protein_coding,no,ribosomal protein S13
ATP5MF,2.11E-14,-0.299822917,0.597,0.793,8.07E-10,-0.196,2.828414679,3.712752846,ENSG00000241468,7,-,protein_coding,no,ATP synthase membrane subunit f
RRAD,2.17E-14,1.376475069,0.201,0.013,8.26E-10,0.188,1.836603427,0.092542498,ENSG00000166592,16,-,protein_coding,yes,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
TOMM7,2.51E-14,-0.422988764,0.819,0.891,9.56E-10,-0.072,5.20717573,7.321973843,ENSG00000196683,7,-,protein_coding,no,translocase of outer mitochondrial membrane 7
AC027031.2,2.70E-14,-0.60085408,0.394,0.632,1.03E-09,-0.238,0.827500355,1.771612881,ENSG00000254615,8,+,lncRNA,no,novel transcript
RPL37,2.82E-14,-0.450141284,0.783,0.885,1.08E-09,-0.102,4.897039836,7.05638274,ENSG00000145592,5,-,protein_coding,no,ribosomal protein L37
MRPL18,2.85E-14,-0.290115558,0.267,0.539,1.09E-09,-0.272,0.622844229,0.984313653,ENSG00000112110,6,+,protein_coding,no,mitochondrial ribosomal protein L18
FIS1,2.90E-14,-0.342076416,0.256,0.51,1.11E-09,-0.254,0.589905717,1.015332149,ENSG00000214253,7,-,protein_coding,no,"fission, mitochondrial 1"
CHMP2A,2.99E-14,-0.386404653,0.43,0.691,1.14E-09,-0.261,1.291532002,1.995334424,ENSG00000130724,19,-,protein_coding,no,charged multivesicular body protein 2A
MRPL54,3.06E-14,-0.294421068,0.333,0.612,1.17E-09,-0.279,0.960998683,1.404954558,ENSG00000183617,19,+,protein_coding,no,mitochondrial ribosomal protein L54
AC123769.1,3.50E-14,0.308607054,0.188,0.007,1.34E-09,0.181,0.320630148,0.066304464,ENSG00000279674,17,-,TEC,no,TEC
ORMDL1,3.91E-14,-0.504827786,0.645,0.849,1.49E-09,-0.204,2.06689889,3.351788343,ENSG00000128699,2,-,protein_coding,no,ORMDL sphingolipid biosynthesis regulator 1
NDUFB3,4.00E-14,-0.355909116,0.62,0.812,1.53E-09,-0.192,2.370391933,3.313399924,ENSG00000119013,2,+,protein_coding,no,NADH:ubiquinone oxidoreductase subunit B3
MEA1,5.02E-14,-0.342073561,0.172,0.418,1.92E-09,-0.246,0.313681415,0.665192547,ENSG00000124733,6,-,protein_coding,no,male-enhanced antigen 1
MZT2B,5.21E-14,-0.250574278,0.391,0.681,1.99E-09,-0.29,1.26663263,1.696568831,ENSG00000152082,2,+,protein_coding,no,mitotic spindle organizing protein 2B
ARL6IP1,5.41E-14,-0.463979145,0.753,0.921,2.06E-09,-0.168,4.201348582,6.174433262,ENSG00000170540,16,-,protein_coding,no,ADP ribosylation factor like GTPase 6 interacting protein 1
MAFA,5.71E-14,-0.295039632,0.011,0.155,2.18E-09,-0.144,0.020231656,0.251741278,ENSG00000182759,8,-,protein_coding,no,MAF bZIP transcription factor A
C9orf116,7.09E-14,-0.408438917,0.149,0.375,2.71E-09,-0.226,0.200158464,0.592908969,ENSG00000160345,9,-,protein_coding,no,chromosome 9 open reading frame 116
PDLIM1,7.42E-14,-0.464782006,0.317,0.576,2.83E-09,-0.259,0.690711931,1.333366415,ENSG00000107438,10,-,protein_coding,no,PDZ and LIM domain 1
EML2-AS1,8.42E-14,-0.381378062,0.057,0.247,3.21E-09,-0.19,0.075594703,0.401054055,ENSG00000267757,19,+,lncRNA,no,EML2 antisense RNA 1
FUT11,9.74E-14,-0.399144386,0.084,0.289,3.71E-09,-0.205,0.167309547,0.539360969,ENSG00000196968,10,+,protein_coding,no,fucosyltransferase 11
TSPYL2,1.03E-13,-0.34497924,0.048,0.227,3.94E-09,-0.179,0.083956643,0.376768783,ENSG00000184205,X,+,protein_coding,no,TSPY like 2
HNRNPA1,1.06E-13,-0.372171513,0.57,0.77,4.04E-09,-0.2,1.892416817,2.743653689,ENSG00000135486,12,+,protein_coding,no,heterogeneous nuclear ribonucleoprotein A1
DEDD2,1.09E-13,-0.486587798,0.12,0.336,4.15E-09,-0.216,0.19633025,0.676210694,ENSG00000160570,19,-,protein_coding,no,death effector domain containing 2
CIB2,1.37E-13,0.612374095,0.281,0.066,5.21E-09,0.215,0.674530859,0.095343119,ENSG00000136425,15,-,protein_coding,no,calcium and integrin binding family member 2
NDUFB10,1.38E-13,-0.397929938,0.473,0.724,5.27E-09,-0.251,1.468534336,2.252580245,ENSG00000140990,16,+,protein_coding,no,NADH:ubiquinone oxidoreductase subunit B10
C8orf82,1.39E-13,-0.316249773,0.192,0.447,5.30E-09,-0.255,0.34678226,0.676864825,ENSG00000213563,8,-,protein_coding,no,chromosome 8 open reading frame 82
PIP4P2,1.40E-13,-0.394121238,0.14,0.365,5.32E-09,-0.225,0.236876319,0.62543119,ENSG00000155099,8,-,protein_coding,yes,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"
NDUFB4,1.45E-13,-0.428168153,0.679,0.832,5.51E-09,-0.153,3.357012778,4.862465379,ENSG00000065518,3,+,protein_coding,no,NADH:ubiquinone oxidoreductase subunit B4
RPL23A,1.66E-13,-0.377815382,0.783,0.865,6.31E-09,-0.082,5.094501736,6.919029627,ENSG00000198242,17,+,protein_coding,no,ribosomal protein L23a
GRAMD1C,1.68E-13,0.452028234,0.344,0.115,6.40E-09,0.229,0.573197623,0.150030145,ENSG00000178075,3,+,protein_coding,yes,GRAM domain containing 1C
APLP2,1.73E-13,-0.471751165,0.817,0.947,6.59E-09,-0.13,10.33626747,14.72104226,ENSG00000084234,11,+,protein_coding,yes,amyloid beta precursor like protein 2
CYGB,1.73E-13,-0.226021772,0.014,0.155,6.60E-09,-0.141,0.013946233,0.185916903,ENSG00000161544,17,-,protein_coding,no,cytoglobin
BUD31,1.73E-13,-0.242090741,0.181,0.431,6.61E-09,-0.25,0.413309674,0.671528965,ENSG00000106245,7,+,protein_coding,no,BUD31 homolog
RPL38,1.78E-13,-0.333206481,0.794,0.888,6.77E-09,-0.094,5.37323974,7.029072899,ENSG00000172809,17,+,protein_coding,no,ribosomal protein L38
SNHG6,1.86E-13,-0.411696138,0.842,0.885,7.11E-09,-0.043,7.488192766,10.29140852,ENSG00000245910,8,-,lncRNA,no,small nucleolar RNA host gene 6
SEM1,2.11E-13,-0.32861471,0.373,0.645,8.03E-09,-0.272,0.894659788,1.379326943,ENSG00000127922,7,-,protein_coding,no,SEM1 26S proteasome complex subunit
COX6C,2.17E-13,-0.315306721,0.812,0.911,8.29E-09,-0.099,6.171228473,7.922988641,ENSG00000164919,8,-,protein_coding,no,cytochrome c oxidase subunit 6C
CDKN2C,2.19E-13,-0.396611608,0.097,0.306,8.34E-09,-0.209,0.176796449,0.549149531,ENSG00000123080,1,+,protein_coding,no,cyclin dependent kinase inhibitor 2C
MANF,2.33E-13,-0.348951502,0.161,0.408,8.90E-09,-0.247,0.343272054,0.710837845,ENSG00000145050,3,+,protein_coding,no,mesencephalic astrocyte derived neurotrophic factor
KIF5C,2.52E-13,0.61768219,0.382,0.148,9.61E-09,0.234,0.840652715,0.199584896,ENSG00000168280,2,+,protein_coding,no,kinesin family member 5C
CC2D2A,2.63E-13,-0.564902262,0.758,0.931,1.00E-08,-0.173,4.891833022,7.7157137,ENSG00000048342,4,+,protein_coding,no,coiled-coil and C2 domain containing 2A
